,team,year,overall wins,overall losses,home wins,home losses,road wins,road losses
445,Los Angeles Lakers,2015,17,65,12,29,5,36
446,Philadelphia 76ers,2015,10,72,7,34,3,38
447,Golden State Warriors,2016,67,15,36,5,31,10
448,San Antonio Spurs,2016,61,21,31,10,30,11
449,Houston Rockets,2016,55,27,30,11,25,16
450,Boston Celtics,2016,53,29,30,11,23,18
451,Cleveland Cavaliers,2016,51,31,31,10,20,21
452,Los Angeles Clippers,2016,51,31,29,12,22,19
453,Toronto Raptors,2016,51,31,28,13,23,18
454,Utah Jazz,2016,51,31,29,12,22,19
455,Washington Wizards,2016,49,33,30,11,19,22
456,Oklahoma City Thunder,2016,47,35,28,13,19,22
457,Atlanta Hawks,2016,43,39,23,18,20,21
458,Memphis Grizzlies,2016,43,39,24,17,19,22
459,Indiana Pacers,2016,42,40,29,12,13,28
460,Milwaukee Bucks,2016,42,40,23,18,19,22
461,Chicago Bulls,2016,41,41,25,16,16,25
462,Portland Trail Blazers,2016,41,41,25,16,16,25
463,Miami Heat,2016,41,41,23,18,18,23
464,Denver Nuggets,2016,40,42,22,19,18,23
465,Detroit Pistons,2016,37,45,24,17,13,28
466,Charlotte Hornets,2016,36,46,22,19,14,27
467,New Orleans Pelicans,2016,34,48,21,20,13,28
468,Dallas Mavericks,2016,33,49,21,20,12,29
469,Sacramento Kings,2016,32,50,17,24,15,26
470,Minnesota Timberwolves,2016,31,51,20,21,11,30
471,New York Knicks,2016,31,51,19,22,12,29
472,Orlando Magic,2016,29,53,16,25,13,28
473,Philadelphia 76ers,2016,28,54,17,24,11,30
474,Los Angeles Lakers,2016,26,56,17,24,9,32
475,Phoenix Suns,2016,24,58,15,26,9,32
476,Brooklyn Nets,2016,20,62,13,28,7,34
477,Houston Rockets,2017,65,17,34,7,31,10
478,Toronto Raptors,2017,59,23,34,7,25,16
479,Golden State Warriors,2017,58,24,29,12,29,12
480,Boston Celtics,2017,55,27,27,14,28,13
481,Philadelphia 76ers,2017,52,30,30,11,22,19
482,Cleveland Cavaliers,2017,50,32,29,12,21,20
483,Portland Trail Blazers,2017,49,33,28,13,21,20
484,Indiana Pacers,2017,48,34,27,14,21,20
485,New Orleans Pelicans,2017,48,34,24,17,24,17
486,Oklahoma City Thunder,2017,48,34,27,14,21,20
487,Utah Jazz,2017,48,34,28,13,20,21
488,Minnesota Timberwolves,2017,47,35,30,11,17,24
489,San Antonio Spurs,2017,47,35,33,8,14,27
490,Denver Nuggets,2017,46,36,31,10,15,26
491,Miami Heat,2017,44,38,26,15,18,23
492,Milwaukee Bucks,2017,44,38,25,16,19,22
493,Washington Wizards,2017,43,39,23,18,20,21
494,Los Angeles Clippers,2017,42,40,22,19,20,21
495,Detroit Pistons,2017,39,43,25,16,14,27
496,Charlotte Hornets,2017,36,46,21,20,15,26
497,Los Angeles Lakers,2017,35,47,20,21,15,26
498,New York Knicks,2017,29,53,19,22,10,31
499,Brooklyn Nets,2017,28,54,15,26,13,28
500,Chicago Bulls,2017,27,55,17,24,10,31
501,Sacramento Kings,2017,27,55,14,27,13,28
502,Orlando Magic,2017,25,57,17,24,8,33
503,Atlanta Hawks,2017,24,58,16,25,8,33
504,Dallas Mavericks,2017,24,58,15,26,9,32
505,Memphis Grizzlies,2017,22,60,16,25,6,35
506,Phoenix Suns,2017,21,61,10,31,11,30
507,Milwaukee Bucks,2018,60,22,33,8,27,14
508,Toronto Raptors,2018,58,24,32,9,26,15
509,Golden State Warriors,2018,57,25,30,11,27,14
510,Denver Nuggets,2018,54,28,34,7,20,21
511,Houston Rockets,2018,53,29,31,10,22,19
512,Portland Trail Blazers,2018,53,29,32,9,21,20
513,Philadelphia 76ers,2018,51,31,31,10,20,21
514,Utah Jazz,2018,50,32,29,12,21,20
515,Boston Celtics,2018,49,33,28,13,21,20
516,Oklahoma City Thunder,2018,49,33,27,14,22,19
517,Indiana Pacers,2018,48,34,29,12,19,22
518,Los Angeles Clippers,2018,48,34,26,15,22,19
